애니제목,방영연도,만화제목,MU제목,MU_URL,anime_start,anime_end,분류,추천이어보기권,추천이어보기화,비고
베르세르크,2016,베르세르크,Berserk,https://www.mangaupdates.com/series/njeqwry/berserk,"Vol 1, Chap 0-1 (1997) Skips Chap 0-2 to 0-8 / Vol 3, Chap 0-9 (Golden Age Arc) / Vol 16, Chap 119 (2016 EP2)","Vol 13, Chap 87 Page 15 (1997) / Vol 13, Chap 91 (Golden Age Arc) / Vol 29, Chap 249 (2017) All change/skip material",사용가능,3,0,
알슬란 전기 (TV),2015,알슬란 전기,Arslan Senki,https://www.mangaupdates.com/series/9r2kpie/arslan-senki,,,불가,,,종료점 없음
죠죠의기묘한 모험 스틸 볼 런 1st STAGE,2026,조조의 이상한 모험 스틸 볼 런,JoJo no Kimyou na Bouken Part 1: Phantom Blood,https://www.mangaupdates.com/series/u3sj99g/jojo-no-kimyou-na-bouken-part-1-phantom-blood,"Vol 1, Chap 1 (Movie/S1E1)","Vol 5, Chap 44 (Movie) Heavily Abridged / Vol 5, Chap 44 (S1E9) Abridged",사용가능,5,45,원작과 전개 차이 있음(검토 권장)
마리지 톡신,2026,마리지 톡신,Marriagetoxin,https://www.mangaupdates.com/series/wgizz2o/marriagetoxin," Vol 1, Chap 1 ",,불가,,,종료점 없음
진격! 거인 중학교,2015,진격! 거인 중학교,Shingeki! Kyojin Chuugakkou,https://www.mangaupdates.com/series/z6wfth2/shingeki-kyojin-chuugakkou,,,불가,,,종료점 없음
좀 더 To LOVE 트러블,2010,To LOVE 트러블,To Love Ru,https://www.mangaupdates.com/series/13a7k3s/to-love-ru,"Vol 5, Chap 43","Vol 18, Chap 162 Abridged",사용가능,18,163,원작과 전개 차이 있음(검토 권장)
묵주와 뱀파이어 Capu2,2008,묵주와 뱀파이어 Season II,Rosario to Vampire,https://www.mangaupdates.com/series/1h7y2uo/rosario-to-vampire,"Vol 1, Chap 1 Different settings","Vol 5, Chap 19",사용가능,5,20,원작과 전개 차이 있음(검토 권장)
주문은 토끼입니까?,2014,주문은 토끼입니까?,Gochuumon wa Usagi Desu ka?,https://www.mangaupdates.com/series/kn3r9wv/gochuumon-wa-usagi-desu-ka,"Vol 1, Chap 1 (S1)",,불가,,,종료점 없음
마녀와 야수,2024,마녀와 야수,Majo to Yajuu,https://www.mangaupdates.com/series/nt1hh7n/majo-to-yajuu,,,불가,,,종료점 없음
남자친구 그녀의 사정,1998,남자친구 그녀의 사정,Kareshi Kanojo no Jijou,https://www.mangaupdates.com/series/dzloax5/kareshi-kanojo-no-jijou,"Vol 1, Chap 1","Vol 8, Chap 33",사용가능,8,34,
사실 나는,2015,사실 나는,Jitsu wa Watashi wa,https://www.mangaupdates.com/series/w2aq7pk/jitsu-wa-watashi-wa,"Vol 1, Chap 1","Vol 4 Chap 29 Diverges, Skips Chap 17, 20-22, 28",화만가능,,30,웹툰 등 권(volume) 정보 없음
코타로는 혼자 살고 있습니다.,2022,코타로는 혼자 살고 있습니다.,Kotarou wa Hitorigurashi,https://www.mangaupdates.com/series/12mnbaw/kotarou-wa-hitorigurashi,"Vol 1, Chap 1","Chap 85, Skips Chap 22, 29, 31, 61-84",화만가능,,86,웹툰 등 권(volume) 정보 없음
플라네테스,2003,플라네테스,Planetes,https://www.mangaupdates.com/series/f89k0tn/planetes,"Vol 1, Chap 1","Vol 2 Diverges and has changed characterizations, new characters/plots and an original ending",불가,,,"Vol 2 Diverges and has changed characterizations, new characters/plots and an original ending"
술은 부부가 된 후,2017,술은 부부가 된 후,Osake wa Fuufu ni Natte Kara,https://www.mangaupdates.com/series/ks57s8t/osake-wa-fuufu-ni-natte-kara,"Vol 1, Chap 1",,불가,,,종료점 없음
마법사의 신부 2기,2023,마법사의 신부,Mahou Tsukai no Yome,https://www.mangaupdates.com/series/8gxkivd/mahou-tsukai-no-yome,"Vol 1, Chap 1 (S1) / Vol 10, Chap 46 (S2P1)","Vol 9, Ch 45 (S1) / Vol 19, Chap 95 (S2P2)",사용가능,10,46,
악마의 리들,2014,악마의 리들,Akuma no Riddle,https://www.mangaupdates.com/series/bj48boh/akuma-no-riddle,"Vol 1, Chap 1","Vol 5, Chap 47",사용가능,5,48,
은혼. 은노혼편,2018,은혼,Gintama,https://www.mangaupdates.com/series/4wcv4hy/gintama,"Vol 1, Chap 1 (Gintama) / Vol 34, Chap 293 (Gintama') / Vol 47, Chap 411 (Gintama°) / Vol 62, Chap 552 (Gintama. 2017)","Vol 34, Chap 292 (Gintama) / Vol 47, Chap 410 (Gintama' Enchousen) / Vol 61, Chap 551 (Gintama°+ Love Potion OVA) / Vol 77, Chap 704 (The Final Movie) Skipped Chap 487",사용가능,34,293,
To LOVE 트러블 다크니스 2기,2015,To LOVE 트러블 다크니스,To Love Ru Darkness,https://www.mangaupdates.com/series/14abumh/to-love-ru-darkness,"Vol 1, Chap 0","Vol 14, Chap 55 (Including OVAs) Skips Chap 51-53",사용가능,14,56,
악의 꽃,2013,악의 꽃,Aku no Hana,https://www.mangaupdates.com/series/wr0jwa6/aku-no-hana,"Vol 1, Chap 1","Vol 4, Chap 20",사용가능,4,21,
창단! 짐승의 길,2019,케모노미치,Kemono Michi,https://www.mangaupdates.com/series/brjd4l1/kemono-michi,,,불가,,,종료점 없음
오타쿠 친화적인 걸은 없다!?,2026,오타쿠 친화적인 걸은 없다!?,Otaku ni Yasashii Gyaru wa Inai!?,https://www.mangaupdates.com/series/4es6i1z/otaku-ni-yasashii-gyaru-wa-inai," Vol 1, Chap 1",,불가,,,종료점 없음
일인지하,,일인지하,The Outcast (Dong Man Tang),https://www.mangaupdates.com/series/5fmgebk/the-outcast-dong-man-tang,Chap 1 (S1),Chap 259 (S4),화만가능,,260,웹툰 등 권(volume) 정보 없음
은혼. 은노혼편 2,2018,은혼,Gintama,https://www.mangaupdates.com/series/4wcv4hy/gintama,"Vol 1, Chap 1 (Gintama) / Vol 34, Chap 293 (Gintama') / Vol 47, Chap 411 (Gintama°) / Vol 62, Chap 552 (Gintama. 2017)","Vol 34, Chap 292 (Gintama) / Vol 47, Chap 410 (Gintama' Enchousen) / Vol 61, Chap 551 (Gintama°+ Love Potion OVA) / Vol 77, Chap 704 (The Final Movie) Skipped Chap 487",사용가능,34,293,
논논비요리 리피트,2015,논논비요리,Non Non Biyori,https://www.mangaupdates.com/series/bt4s5e7/non-non-biyori,"Vol 1, Chap 1","Vol 16, Chap 120 Skips Chap 30, 34, 60, 68, 73, 78, 81, 83-84, 91-92, 95-96, 99-100, 102-103, 108-109, 113, 115-119",사용가능,16,121,
학생회 임원들*,2014,학생회 임원들,Seitokai Yakuindomo,https://www.mangaupdates.com/series/aant0dv/seitokai-yakuindomo,"Vol 1, Chap 1 Adapts selected chapters",,불가,,,종료점 없음
아사가오토 카세 씨.,2018,카세 씨 시리즈,Kase-san to…,https://www.mangaupdates.com/series/2ohz2dw/kase-san-to,,,불가,,,종료점 없음
이토 준지 「컬렉션」,2018,도미,Tomie,https://www.mangaupdates.com/series/ea6z0yq/tomie,,,불가,,,종료점 없음
일하고 있는'!!,2011,일하고 있는!!,Working!!,https://www.mangaupdates.com/series/d5v0n59/working,"Vol 1, Chap 1","Vol 13, Chap 281 Skips chapters ",사용가능,13,282,
얼음 성벽,2026,얼음 성벽,Koori no Jouheki,https://www.mangaupdates.com/series/5o0ib99/koori-no-jouheki," Vol 1, Chap 1",,불가,,,종료점 없음
해수 아이,2019,해수 아이,Kaijuu no Kodomo,https://www.mangaupdates.com/series/a79fcx9/kaijuu-no-kodomo,Vol 1,Vol 5 Heavily abridged,불가,,,Vol 5 Heavily abridged
역경 무뢰 카이지 파계 녹편,2011,도박 파계록 카이지,Tobaku Hakairoku Kaiji,https://www.mangaupdates.com/series/1nfk9s3/tobaku-hakairoku-kaiji,"Vol 1, Chap 1 (S2)","Vol 13, Chap 134 (S2)",사용가능,13,135,
드래곤 볼 카이 (2014),2014,드래곤볼,Dragon Ball,https://www.mangaupdates.com/series/iitcsf0/dragon-ball,"Vol 1, Chap 1 (Dragon Ball) / Vol 17, Chap 195  (DBZ/Kai)","Vol 16, Chap 194 (Dragon Ball) / Vol 42, Chap 519 (DBZ/Kai)",사용가능,17,195,
은혼. 뽀로리편,2017,은혼,Gintama,https://www.mangaupdates.com/series/4wcv4hy/gintama,"Vol 1, Chap 1 (Gintama) / Vol 34, Chap 293 (Gintama') / Vol 47, Chap 411 (Gintama°) / Vol 62, Chap 552 (Gintama. 2017)","Vol 34, Chap 292 (Gintama) / Vol 47, Chap 410 (Gintama' Enchousen) / Vol 61, Chap 551 (Gintama°+ Love Potion OVA) / Vol 77, Chap 704 (The Final Movie) Skipped Chap 487",사용가능,34,293,
ACCA 13구역 검사과,2017,ACCA 13구역 검사과,"ACCA: 13-ku Kansatsu-ka dj - Call, Call",https://www.mangaupdates.com/series/voaot55/acca-13-ku-kansatsu-ka-dj-call-call,,,불가,,,종료점 없음
연애 실험실,2013,연애 실험실,Renai Lab,https://www.mangaupdates.com/series/lqdno8r/renai-lab,"Vol 1, Chap 1",Vol 4,불가,,,Vol 4
일하고 있는!!!,2015,일하고 있는!!,Working!!,https://www.mangaupdates.com/series/d5v0n59/working,"Vol 1, Chap 1","Vol 13, Chap 281 Skips chapters ",사용가능,13,282,
+틱 언니,2011,플라스틱 언니,Plastic Neesan,https://www.mangaupdates.com/series/y13p8fj/plastic-neesan,"Vol 1, Chap 4","Vol 4, Chap 72 (Only adapts 12 chapters)",사용가능,4,73,
속 나츠메 우인장,2009,나츠메 우인장,Natsume Yuujinchou,https://www.mangaupdates.com/series/rlo7rj9/natsume-yuujinchou,"Vol 1, Chap 1 (S1)","Vol 24, Chap 99 (S7 + Movie 2, OVAs) Skips 31.5, 67.5, 71, 85-86.5,89.5,90-91, 98.5 - Also adapted Chap 108",사용가능,24,100,
침략! 오징어 딸,2010,침략! 오징어 딸,Shinryaku! Ika Musume,https://www.mangaupdates.com/series/gsjnmxb/shinryaku-ika-musume,"Vol 1, Chap 1",,불가,,,종료점 없음
할아버지 할머니 회춘하다,2024,할아버지 할머니 회춘하다,Jiisan Baasan Wakagaeru,https://www.mangaupdates.com/series/465waj8/jiisan-baasan-wakagaeru,"Vol 1, Chap 1","Vol 8, Chap 203 Abridged",사용가능,8,204,원작과 전개 차이 있음(검토 권장)
나츠메 우인장 3기,2011,나츠메 우인장,Natsume Yuujinchou,https://www.mangaupdates.com/series/rlo7rj9/natsume-yuujinchou,"Vol 1, Chap 1 (S1)","Vol 24, Chap 99 (S7 + Movie 2, OVAs) Skips 31.5, 67.5, 71, 85-86.5,89.5,90-91, 98.5 - Also adapted Chap 108",사용가능,24,100,
외모지상주의,,외모지상주의,Lookism,https://www.mangaupdates.com/series/0udr4gz/lookism,Chap 1,Chap 27,화만가능,,28,웹툰 등 권(volume) 정보 없음
최근 고용한 하녀가 수상하다.,2022,최근 고용한 하녀가 수상하다.,Saikin Yatotta Maid ga Ayashii,https://www.mangaupdates.com/series/z47ijpk/saikin-yatotta-maid-ga-ayashii,"Vol 1, Chap 1 Some differences",,불가,,,종료점 없음
남편이 무슨 말을 하는지 모르겠다 2스레드,2015,남편이 무슨 말을 하는지 모르겠다,Danna ga Nani o Itte Iru ka Wakaranai Ken,https://www.mangaupdates.com/series/sed7jqx/danna-ga-nani-o-itte-iru-ka-wakaranai-ken,,,불가,,,종료점 없음
식령 -제로-,2008,귀신,Ga-rei,https://www.mangaupdates.com/series/vpgljvi/ga-rei,A prequel to the manga,,불가,,,종료점 없음
우시오와 토라 (TV),2015,우시오 토라,Ushio to Tora,https://www.mangaupdates.com/series/2fs6xf2/ushio-to-tora,"Vol 1, Prologue (OVA/S1)","Vol 5, Chap 43 (OVA) Skips Chap 5-9, 26-39, EP 4 is original / Vol 33, Chap 312 (S2) Skips Chap 36-39, 55-75, 83-85, 96, 117-139, 147-149, 152-153, 155, 167, 176-220, 232-239, 247",사용가능,5,44,
유루유리♪♪,2012,유루유리,Yuruyuri,https://www.mangaupdates.com/series/y3f5tj3/yuruyuri,"Vol 1, Chap 1 (S1)","Vol 13, Chap 98.5 (2019 OAV) Skips Chap 12.1, 22.2-22.3, 34, 51.01-51.03, 51.08, 53, 59, 61.8, 65, 68, 70.1, 71, 74, 94-97",사용가능,13,99,
데드 마운트 데스 플레이,2023,데드 마운트 디스플레이,Dead Mount Death Play,https://www.mangaupdates.com/series/1hwb6om/dead-mount-death-play,"Vol 1, Chap 1 (Cour 1)
","Vol 10, Chap 81 (Cour 2)",사용가능,10,82,
블리치 천년혈전편 -화진담-,2026,블리치,Bleach,https://www.mangaupdates.com/series/wm47jwz/bleach,"Vol 1, Chap 1 (Bleach) / Vol 54, Chap 480 
(Thousand-Year Blood War P1) / Vol 61, Chap 542 (P2) / Vol 67, Chap 609 (P3) / Vol 72, Chap 662 (P4)","Vol 54, Chap 479 (Bleach) / Vol 61, Chap 541 (Thousand-Year Blood War P1) Vol 67, Chap 608 (P2) / Vol 72, Chap 661 Partially Adapted (P3)",사용가능,54,480,
독점 마이 히어로,2017,독점 마이 히어로,Hitorijime My Hero,https://www.mangaupdates.com/series/ocq5m6s/hitorijime-my-hero,,,불가,,,종료점 없음
스노하라소의 관리인,2018,스노하라소의 관리인,Sunoharasou no Kanrinin-san,https://www.mangaupdates.com/series/19hs8g2/sunoharasou-no-kanrinin-san,,,불가,,,종료점 없음
위국 일기,2026,위국 일기,Ikoku Nikki (YAMASHITA Tomoko),https://www.mangaupdates.com/series/g763imy/ikoku-nikki-yamashita-tomoko,"Vol. 1, Chap 1","Vol 7, Chap 35 Abridged",사용가능,7,36,원작과 전개 차이 있음(검토 권장)
공주기사는 야만족의 아내,2026,공주 기사는 야만족의 아내,Hime Kishi wa Barbaroi no Yome,https://www.mangaupdates.com/series/v9ix5tf/hime-kishi-wa-barbaroi-no-yome," Vol 1, Chap 1",,불가,,,종료점 없음
시티 더 애니메이션,2025,도시,City,https://www.mangaupdates.com/series/8tph2c4/city,"Vol 1, Chap 1 Adapts selected chapters out of order ",,불가,,,종료점 없음
코노하나기담,2017,코노하나 기담,Konohana Kitan,https://www.mangaupdates.com/series/6mtk0jq/konohana-kitan,,"Vol 3, Chap 4",사용가능,3,5,
사랑하는 게임을 끝내고 싶다.,2026,사랑하는 게임을 끝내고 싶다.,Aishiteru Game wo Owarasetai,https://www.mangaupdates.com/series/6t8o7q6/aishiteru-game-wo-owarasetai," Vol 1, Chap 1",,불가,,,종료점 없음
나카노 인간 게놈 [실황 중],2019,나카노 인간 게놈 [실황 중],Naka no Hito Genome [Jikkyouchuu],https://www.mangaupdates.com/series/m0nykal/naka-no-hito-genome-jikkyouchuu,Vol 1 Chap 1,"Vol 6 Chap 28 (EP 11), Original Ending in EP 12",화만가능,,29,원작과 전개 차이 있음(검토 권장) / 웹툰 등 권(volume) 정보 없음
퓨파,2014,번데기,Pupa,https://www.mangaupdates.com/series/9kthz0z/pupa,,,불가,,,종료점 없음
군청 마그멜,2019,시요의 나라,Gunjou no Magmel,https://www.mangaupdates.com/series/lyno25n/gunjou-no-magmel,,,불가,,,종료점 없음
껴안고 싶은 남자 1위에 위협받고 있습니다.,2018,껴안고 싶은 남자 1위에 위협받고 있습니다.,Dakaretai Otoko Ichii ni Odosarete Imasu.,https://www.mangaupdates.com/series/klhyev6/dakaretai-otoko-ichii-ni-odosarete-imasu,Chap 1,"Chap 22 (Movie, excluding Netorare Triangle chapters)",화만가능,,23,웹툰 등 권(volume) 정보 없음
세키레이~Pure Engagement~,2010,세키레이,Sekirei,https://www.mangaupdates.com/series/u31ngt7/sekirei,"Vol 1, Chap 1","Vol 6, Chap 48 (S1) / Vol 8, Chap 73 (S2) Diverges thereafter and skips Chapter 70",사용가능,6,49,
호리 씨와 미야무라 군,2012,호리 씨와 미야무라 군,Hori-san to Miyamura-kun,https://www.mangaupdates.com/series/y6r6si8/hori-san-to-miyamura-kun,"Vol 1, Chap 1 (OVA 1)",Chap 23 (OVA 4),화만가능,,24,웹툰 등 권(volume) 정보 없음
단다단 3기,,단다단,Dandadan,https://www.mangaupdates.com/series/tt2niag/dandadan,"Vol 1, Chap 1 (S1) / Vol 5, Chap 35 (S2)","Vol 5, Chap 34 (S1) / Vol 9, Chap 71 (S2)",사용가능,5,35,
부탁!,2014,부탁!,Sabagebu!,https://www.mangaupdates.com/series/jpwzehk/sabagebu,,,불가,,,종료점 없음
베르세르크 2,2017,베르세르크,Berserk,https://www.mangaupdates.com/series/njeqwry/berserk,"Vol 1, Chap 0-1 (1997) Skips Chap 0-2 to 0-8 / Vol 3, Chap 0-9 (Golden Age Arc) / Vol 16, Chap 119 (2016 EP2)","Vol 13, Chap 87 Page 15 (1997) / Vol 13, Chap 91 (Golden Age Arc) / Vol 29, Chap 249 (2017) All change/skip material",사용가능,3,0,
To LOVE 트러블,2009,To LOVE 트러블,To Love Ru,https://www.mangaupdates.com/series/13a7k3s/to-love-ru,"Vol 5, Chap 43","Vol 18, Chap 162 Abridged",사용가능,18,163,원작과 전개 차이 있음(검토 권장)
논논비요리 논스톱,2021,논논비요리,Non Non Biyori,https://www.mangaupdates.com/series/bt4s5e7/non-non-biyori,"Vol 1, Chap 1","Vol 16, Chap 120 Skips Chap 30, 34, 60, 68, 73, 78, 81, 83-84, 91-92, 95-96, 99-100, 102-103, 108-109, 113, 115-119",사용가능,16,121,
최근 여동생처럼 보이지만 조금 이상합니다.,2014,최근 여동생처럼 보이지만 조금 이상합니다.,"Saikin, Imouto no Yousu ga Chotto Okashii n da ga. (Novel)",https://www.mangaupdates.com/series/iltb4d5/saikin-imouto-no-yousu-ga-chotto-okashii-n-da-ga-novel,,,불가,,,종료점 없음
한때 마법 소녀와 악은 적대했다.,2024,한때 마법 소녀와 악은 적대했다.,Katsute Mahou Shoujo to Aku wa Tekitai Shite Ita.,https://www.mangaupdates.com/series/pjh8g11/katsute-mahou-shoujo-to-aku-wa-tekitai-shite-ita,"Vol 1, Chap 1 Alternate Setting",,불가,,,종료점 없음
헤타리아 Axis Powers,2009,헤타리아 Axis Powers,Hetalia - Axis Powers,https://www.mangaupdates.com/series/8l8aswk/hetalia-axis-powers,"Vol 1, Chap 1",,불가,,,종료점 없음
반복! 코쿠리 씨,2014,반복! 코쿠리 씨,Gugure! Kokkuri-san,https://www.mangaupdates.com/series/rh5dnyt/gugure-kokkuri-san,"Vol 1, Chap 1 Adapts selected chapters",,불가,,,종료점 없음
미라를 키우는 방법,2018,미라를 키우는 방법,Miira no Kaikata,https://www.mangaupdates.com/series/6uilg4p/miira-no-kaikata,,,불가,,,종료점 없음
나츠메 우인장 6기,2017,나츠메 우인장,Natsume Yuujinchou,https://www.mangaupdates.com/series/rlo7rj9/natsume-yuujinchou,"Vol 1, Chap 1 (S1)","Vol 24, Chap 99 (S7 + Movie 2, OVAs) Skips 31.5, 67.5, 71, 85-86.5,89.5,90-91, 98.5 - Also adapted Chap 108",사용가능,24,100,
데키는 고양이는 오늘도 우울하다.,2023,데키는 고양이는 오늘도 우울하다.,Dekiru Neko wa Kyou mo Yuuutsu,https://www.mangaupdates.com/series/q1lfjmx/dekiru-neko-wa-kyou-mo-yuuutsu,"Vol 1, Chap 1","vol ? , chap 40",화만가능,,41,웹툰 등 권(volume) 정보 없음
나츠메 우인장 5기,2016,나츠메 우인장,Natsume Yuujinchou,https://www.mangaupdates.com/series/rlo7rj9/natsume-yuujinchou,"Vol 1, Chap 1 (S1)","Vol 24, Chap 99 (S7 + Movie 2, OVAs) Skips 31.5, 67.5, 71, 85-86.5,89.5,90-91, 98.5 - Also adapted Chap 108",사용가능,24,100,
